"시도교육청","교육지원청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","1학년","2학년","3학년","특수학급","순회학급","학급수(계)","학생수(계)","학급당학생수"
"충청남도교육청","충청남도천안교육지원청","충청남도 천안시 동남구","S120000750","천안북중학교","03","공립","N","","7","6","8","2","0","23(2)","603(13)","26.2"
"충청남도교육청","충청남도천안교육지원청","충청남도 천안시 동남구","S120000751","천안서여자중학교","03","사립","N","","6","6","7","0","0","19(0)","440(0)","23.2"
"충청남도교육청","충청남도천안교육지원청","충청남도 천안시 서북구","S120000752","천안성정중학교","03","공립","N","","9","11","10","2","0","32(2)","881(8)","27.5"
"충청남도교육청","충청남도천안교육지원청","충청남도 천안시 서북구","S120000753","천안쌍용중학교","03","공립","N","","11","12","13","2","0","38(2)","1124(12)","29.6"
"충청남도교육청","충청남도천안교육지원청","충청남도 천안시 동남구","S120000754","천안여자중학교","03","공립","N","","6","8","8","3","0","25(3)","633(16)","25.3"
"충청남도교육청","충청남도천안교육지원청","충청남도 천안시 동남구","S120000755","천안중학교","03","공립","N","","7","7","7","2","0","23(2)","634(9)","27.6"
"충청남도교육청","충청남도청양교육지원청","충청남도 청양군","S120000822","동영중학교","03","사립","N","","0","1","1","0","0","2(0)","10(0)","5"
"충청남도교육청","충청남도청양교육지원청","충청남도 청양군","S120000824","정산중학교","03","공립","N","","2","2","2","1","0","7(1)","120(2)","17.1"
"충청남도교육청","충청남도청양교육지원청","충청남도 청양군","S120000826","청신여자중학교","03","사립","N","","1","1","1","0","0","3(0)","41(0)","13.7"
"충청남도교육청","충청남도청양교육지원청","충청남도 청양군","S120000827","청양중학교","03","공립","N","","4","4","4","2","0","14(2)","310(11)","22.1"
"충청남도교육청","충청남도당진교육지원청","충청남도 당진시","S120000868","고대중학교","03","공립","N","","1","1","1","1","0","4(1)","61(6)","15.3"
"충청남도교육청","충청남도당진교육지원청","충청남도 당진시","S120000870","당진중학교","03","공립","N","","11","10","15","2","0","38(2)","998(9)","26.3"
"충청남도교육청","충청남도당진교육지원청","충청남도 당진시","S120000871","당진중학교대호지분교장","03","공립","N","","1","1","1","0","0","3(0)","8(0)","2.7"
"충청남도교육청","충청남도당진교육지원청","충청남도 당진시","S120000872","면천중학교","03","공립","N","","1","1","1","0","0","3(0)","38(0)","12.7"
"충청남도교육청","충청남도당진교육지원청","충청남도 당진시","S120000874","서야중학교","03","사립","N","","2","2","2","0","0","6(0)","119(0)","19.8"
"충청남도교육청","충청남도당진교육지원청","충청남도 당진시","S120000875","석문중학교","03","사립","N","","2","2","2","0","0","6(0)","96(0)","16"
"충청남도교육청","충청남도당진교육지원청","충청남도 당진시","S120000876","송산중학교","03","공립","N","","3","3","3","2","0","11(2)","202(8)","18.4"
"충청남도교육청","충청남도당진교육지원청","충청남도 당진시","S120000877","송악중학교","03","사립","N","","12","12","11","1","0","36(1)","936(8)","26"
"충청남도교육청","충청남도당진교육지원청","충청남도 당진시","S120000878","순성중학교","03","공립","N","","1","1","1","0","0","3(0)","39(0)","13"
"충청남도교육청","충청남도당진교육지원청","충청남도 당진시","S120000879","신평중학교","03","사립","N","","8","8","7","1","0","24(1)","639(8)","26.6"
"충청남도교육청","충청남도당진교육지원청","충청남도 당진시","S120000880","합덕여자중학교","03","공립","N","","1","1","1","1","0","4(1)","51(2)","12.8"
"충청남도교육청","충청남도당진교육지원청","충청남도 당진시","S120000881","합덕중학교","03","공립","N","","1","1","1","1","0","4(1)","60(2)","15"
"충청남도교육청","충청남도당진교육지원청","충청남도 당진시","S120000882","호서중학교","03","사립","N","","6","6","8","0","0","20(0)","576(0)","28.8"
"충청남도교육청","충청남도서산교육지원청","충청남도 서산시","S120000929","고북중학교","03","공립","N","","1","1","1","0","0","3(0)","60(0)","20"
"충청남도교육청","충청남도서산교육지원청","충청남도 서산시","S120000930","대산중학교","03","사립","N","","3","3","3","1","0","10(1)","173(3)","17.3"
"충청남도교육청","충청남도서산교육지원청","충청남도 서산시","S120000931","대철중학교","03","사립","N","","2","2","2","1","0","7(1)","105(6)","15"
"충청남도교육청","충청남도서산교육지원청","충청남도 서산시","S120000932","부석중학교","03","공립","N","","1","1","1","0","0","3(0)","49(0)","16.3"
"충청남도교육청","충청남도서산교육지원청","충청남도 서산시","S120000933","서령중학교","03","사립","N","","6","6","6","0","0","18(0)","534(0)","29.7"
"충청남도교육청","충청남도서산교육지원청","충청남도 서산시","S120000934","서산부춘중학교","03","공립","N","","6","6","5","2","0","19(2)","471(13)","24.8"
"충청남도교육청","충청남도서산교육지원청","충청남도 서산시","S120000935","서산여자중학교","03","공립","N","","10","10","9","2","0","31(2)","834(10)","26.9"
"충청남도교육청","충청남도서산교육지원청","충청남도 서산시","S120000937","서산중학교","03","공립","N","","10","10","10","2","0","32(2)","825(7)","25.8"
"충청남도교육청","충청남도서산교육지원청","충청남도 서산시","S120000938","서일중학교","03","사립","N","","3","3","3","0","0","9(0)","239(0)","26.6"
"충청남도교육청","충청남도서산교육지원청","충청남도 서산시","S120000939","성연중학교","03","공립","N","","8","7","7","2","0","24(2)","568(10)","23.7"
